date,mean_temperature,max_temperature,min_temperature,mean_relative_humidity,max_relative_humidity,mean_wind_speed,max_wind_speed,max_wind_gust,precipitation_sum,mean_vpd,max_vpd,mean_cloud_cover,mean_dew_point,mean_apparent_temperature,max_apparent_temperature,min_apparent_temperature
2007-08-15,27.22083333333333,32.6,22.2,70.16666666666667,93.0,8.945833333333333,15.1,28.4,0.0,1.2158333333333333,2.67,94.58333333333333,20.8125,30.579166666666666,36.5,25.7
2007-08-16,27.90833333333333,32.4,22.8,68.10000000000001,92.0,8.5,22.8,26.6,31.5,2.7325,37.1,80.82958333333333,20.633333333333333,31.556250000000002,37.1,26.6
2007-08-17,27.883333333333336,32.4,24.0,71.35000000000001,89.0,9.25,24.0,30.6,35.1,2.59375,36.7,95.67958333333333,21.483333333333334,31.818749999999998,36.7,28.0
2007-08-18,27.233333333333334,31.8,23.6,74.16666666666667,92.0,10.354166666666666,13.4,32.4,1.4,1.0129166666666667,2.1,99.41666666666667,21.983333333333334,30.754166666666666,35.8,27.5
2007-08-19,27.316666666666666,32.1,23.5,72.58333333333333,92.0,10.887500000000001,16.1,31.0,0.3,1.0875000000000001,2.28,98.41666666666667,21.650000000000002,30.599999999999998,36.4,27.2
2007-08-20,27.383333333333336,32.8,22.9,73.83333333333333,96.0,10.541666666666666,15.9,33.5,11.7,1.0675000000000001,2.36,75.04166666666667,21.945833333333336,31.075,38.5,26.5
2007-08-21,26.054166666666664,30.3,23.0,78.1375,95.0,12.1625,22.9,34.9,36.1,2.1,33.9,90.73,21.629166666666666,29.3,33.9,26.7
2007-08-22,25.95,30.5,23.5,77.6875,91.0,11.112499999999999,23.5,33.1,35.5,2.1408333333333336,34.7,91.6125,21.3875,29.349999999999998,34.7,26.9
2007-08-23,26.1375,29.3,23.3,78.16666666666667,95.0,8.666666666666666,11.9,30.6,2.9,0.7958333333333334,1.52,99.08333333333333,21.820833333333336,29.662499999999998,32.6,27.2
2007-08-24,26.3875,30.5,23.3,78.64583333333333,96.0,6.0,23.3,29.5,39.0,2.195416666666667,36.1,93.59458333333333,22.03333333333333,30.916666666666668,36.1,27.8
2007-08-25,26.6375,30.1,23.5,75.50416666666666,96.0,9.387500000000001,23.5,30.2,37.8,2.25,35.1,70.88666666666667,21.6875,30.46875,35.1,27.2
2007-08-26,26.72083333333333,31.9,23.5,75.75,92.0,11.366666666666667,16.0,33.5,0.6,0.9391666666666666,2.11,76.33333333333333,21.804166666666664,30.166666666666668,36.8,26.9
2007-08-27,26.516666666666666,30.3,23.7,77.16666666666667,92.0,10.450000000000001,15.2,28.1,0.30000000000000004,0.84,1.64,88.125,22.0625,30.083333333333332,35.4,27.2
2007-08-28,27.191666666666666,32.0,23.8,74.75,89.0,9.991666666666665,15.0,27.4,2.7,0.98,2.04,79.83333333333333,22.125,30.879166666666666,37.5,27.3
2007-08-29,26.97083333333333,30.9,23.9,73.62083333333334,90.0,11.6625,23.9,33.5,32.9,2.3733333333333335,35.6,91.29041666666666,21.279166666666665,30.395833333333332,35.6,27.5
2007-08-30,26.070833333333336,29.9,23.9,79.20833333333333,89.0,11.741666666666667,15.1,31.3,6.7,0.7383333333333333,1.51,99.66666666666667,22.079166666666666,29.295833333333334,33.5,27.0
2007-08-31,25.599999999999998,30.5,23.5,79.47916666666667,90.0,14.679166666666667,23.5,39.6,36.4,2.085,35.1,95.59583333333335,21.508333333333336,28.597916666666666,35.1,26.2
2007-09-01,26.03333333333333,30.4,23.6,76.45833333333333,88.0,13.1625,15.6,37.1,1.1,0.8366666666666666,1.77,99.95833333333333,21.441666666666666,28.787499999999998,33.7,26.5
2007-09-02,26.099999999999998,30.4,23.6,75.55833333333334,88.0,13.729166666666666,23.6,35.3,28.9,2.18125,33.8,94.85583333333334,20.808333333333334,28.8625,33.8,26.7
2007-09-03,26.087500000000002,29.4,23.7,78.58333333333333,89.0,12.229166666666666,16.6,37.8,0.1,0.7604166666666666,1.41,96.41666666666667,21.974999999999998,29.170833333333334,32.3,27.2
2007-09-04,27.2625,32.3,23.4,72.5125,91.0,11.641666666666666,23.4,29.5,32.3,2.5320833333333335,37.6,75.64208333333333,21.208333333333332,30.660416666666666,37.6,27.0
2007-09-05,26.754166666666666,32.1,23.5,77.25,92.0,12.825000000000001,16.1,36.4,3.7,0.8745833333333333,2.05,94.0,22.229166666666668,30.120833333333334,36.7,27.1
2007-09-06,26.641666666666666,31.2,23.4,76.58333333333333,92.0,10.654166666666667,12.9,31.7,2.5,0.87875,1.9,98.75,22.004166666666666,30.083333333333332,35.2,26.9
2007-09-07,27.27916666666667,32.0,23.8,75.41666666666667,90.0,9.049999999999999,12.7,29.2,2.3,0.9575,2.03,92.0,22.3625,31.329166666666666,37.8,27.4
2007-09-08,27.1875,32.2,23.9,78.625,94.0,4.479166666666667,11.7,26.6,13.0,0.8629166666666667,2.14,84.875,22.854166666666668,32.204166666666666,39.2,28.2
2007-09-09,26.666666666666668,31.6,23.1,78.60833333333333,96.0,4.545833333333333,23.1,28.0,42.4,2.2983333333333333,37.3,69.315,22.27916666666667,31.59166666666667,37.3,28.0
2007-09-10,27.09166666666667,31.8,23.5,78.75,96.0,4.370833333333334,6.6,23.0,0.6000000000000001,0.8491666666666666,1.98,70.70833333333333,22.8,32.050000000000004,38.6,28.2
2007-09-11,27.28333333333333,31.8,24.0,77.20833333333333,94.0,2.9499999999999997,8.8,19.8,3.1,0.9154166666666667,1.94,69.16666666666667,22.65416666666667,32.479166666666664,37.9,29.3
2007-09-12,27.429166666666664,32.0,23.8,75.16666666666667,95.0,6.091666666666666,11.0,24.5,1.6,0.9804166666666667,2.03,67.41666666666667,22.429166666666664,32.0,38.8,28.2
2007-09-13,27.795833333333334,32.2,24.0,71.675,91.0,9.741666666666667,24.0,32.4,35.8,2.629583333333333,38.6,74.05458333333333,21.633333333333336,31.820833333333336,38.6,27.7
2007-09-14,26.179166666666664,29.6,23.9,78.16666666666667,91.0,8.65,11.0,28.1,0.5,0.7687499999999999,1.48,97.25,21.995833333333334,29.84583333333333,34.0,27.4
2007-09-15,26.166666666666668,30.2,23.5,81.33333333333333,95.0,9.950000000000001,11.9,34.9,9.1,0.70375,1.61,95.95833333333333,22.479166666666668,29.958333333333332,34.1,27.2
2007-09-16,26.020833333333332,30.7,23.6,82.375,94.0,12.012500000000001,15.2,35.3,7.7,0.6516666666666667,1.68,99.08333333333333,22.604166666666668,29.616666666666664,35.8,26.9
2007-09-17,26.129166666666666,30.7,23.3,78.15416666666667,94.0,14.0375,23.3,38.5,41.9,2.1616666666666666,35.2,93.70625,21.90416666666667,29.241666666666664,35.2,26.6
2007-09-18,24.7625,27.3,23.2,82.72083333333333,94.0,17.433333333333334,23.1,43.2,29.700000000000003,1.6808333333333334,29.3,91.66958333333334,21.254166666666666,27.139583333333334,29.3,25.8
2007-09-19,26.0,30.6,23.4,76.44166666666666,89.0,15.516666666666666,23.4,46.1,31.200000000000003,2.1816666666666666,34.4,87.63875,21.0125,28.641666666666666,34.4,26.0
2007-09-20,26.52916666666667,31.1,23.3,74.21249999999999,91.0,15.4,23.3,38.9,31.0,2.3000000000000003,34.7,96.11291666666666,20.954166666666666,29.1875,34.7,26.4
2007-09-21,26.733333333333334,31.2,23.4,72.71666666666667,89.0,16.6,23.4,39.2,29.3,2.347916666666667,34.1,96.41125,20.724999999999998,29.079166666666666,34.1,26.1
2007-09-22,26.320833333333336,30.4,23.8,77.16666666666667,88.0,18.125,22.7,47.9,0.6,0.8366666666666668,1.72,99.45833333333333,21.854166666666668,28.616666666666664,33.3,26.3
2007-09-23,26.40833333333333,30.1,23.7,74.04583333333333,89.0,18.462500000000002,23.7,46.1,29.5,2.1958333333333333,32.4,94.79208333333334,20.787499999999998,28.420833333333334,32.4,26.3
2007-09-24,26.429166666666664,30.6,23.7,76.04166666666667,89.0,19.279166666666665,25.5,53.6,0.0,0.88,1.81,84.25,21.683333333333334,28.375,32.4,26.7
2007-09-25,25.849999999999998,29.9,23.7,79.24583333333334,92.0,16.279166666666665,24.3,50.8,29.6,1.9737500000000001,32.1,83.78,21.383333333333336,28.539583333333336,32.1,27.049999999999997
2007-09-26,27.0,31.3,23.4,75.125,94.0,8.299999999999999,11.4,26.3,0.5,0.94875,1.87,95.45833333333333,22.045833333333334,30.879166666666666,35.9,27.5
2007-09-27,27.224999999999998,32.2,23.9,73.29166666666667,88.0,8.825000000000001,14.3,31.7,1.3,1.0491666666666666,2.22,91.5,21.7625,30.958333333333332,37.7,27.9
2007-09-28,27.09583333333333,32.3,23.5,73.58333333333333,91.0,9.554166666666667,16.2,28.4,0.9,1.0325,2.32,95.91666666666667,21.708333333333332,30.645833333333332,36.7,27.1
2007-09-29,27.46666666666667,33.0,23.5,68.83333333333333,90.0,12.745833333333332,23.5,34.2,30.9,2.6983333333333337,37.6,81.71916666666667,20.4375,30.39375,37.6,26.8
2007-09-30,27.516666666666666,31.9,23.8,69.95416666666667,87.0,12.133333333333333,23.7,29.5,31.5,2.5908333333333333,36.4,72.48083333333334,20.829166666666666,30.618750000000002,36.4,26.950000000000003
2007-10-01,26.974999999999998,31.7,23.8,72.29166666666667,87.0,13.520833333333334,17.0,36.0,0.0,1.0645833333333334,2.23,97.95833333333333,21.3125,29.6875,35.0,26.8
2007-10-02,27.458333333333332,32.8,23.4,68.58333333333333,89.0,11.929166666666667,14.1,33.8,0.6,1.2625,2.62,74.70833333333333,20.779166666666665,30.266666666666666,36.3,26.5
2007-10-03,27.520833333333332,32.4,23.2,68.76666666666667,90.0,10.762500000000001,23.2,31.3,31.6,2.6629166666666664,36.4,74.53583333333333,20.420833333333334,30.597916666666666,36.4,26.2
2007-10-04,27.52916666666667,32.8,23.3,66.49166666666666,91.0,12.541666666666666,23.3,34.2,30.5,2.7554166666666666,36.5,81.96458333333334,19.866666666666667,30.120833333333334,36.5,26.2
2007-10-05,27.354166666666668,33.0,22.9,61.708333333333336,86.0,15.549999999999999,22.9,40.7,28.8,2.9025,35.7,90.39541666666666,18.441666666666666,28.827083333333334,35.7,24.8
2007-10-06,27.275000000000002,33.2,22.3,62.96666666666667,84.0,14.345833333333333,22.3,40.0,29.0,2.8866666666666667,36.1,58.70708333333334,18.570833333333333,28.960416666666664,36.1,24.5
2007-10-07,27.1875,33.1,22.4,64.0,86.0,14.075000000000001,17.4,39.6,0.2,1.4408333333333332,2.99,86.79166666666667,19.2875,28.916666666666668,35.1,24.8
2007-10-08,27.754166666666666,33.7,21.7,58.375,88.0,10.266666666666667,15.1,30.2,0.0,1.72375,3.46,99.54166666666667,18.0625,29.5625,36.1,24.0
2007-10-09,28.2625,32.5,23.4,62.833333333333336,82.0,4.9375,7.6,22.7,0.0,1.515,2.64,93.91666666666667,20.183333333333334,31.59583333333333,36.9,26.3
2007-10-10,28.920833333333334,33.8,24.5,62.824999999999996,86.0,5.541666666666667,24.5,28.3,32.800000000000004,3.13875,38.8,53.04583333333333,19.9375,32.6875,38.8,28.6
2007-10-11,27.97083333333333,33.7,23.7,68.7375,93.0,4.5375000000000005,23.7,28.6,34.5,2.86125,38.5,59.00333333333333,20.5125,32.21666666666667,38.5,28.6
2007-10-12,27.891666666666666,33.3,23.3,69.875,96.0,4.154166666666667,9.2,22.7,1.7,1.2691666666666668,2.94,95.75,21.320833333333333,32.141666666666666,38.6,28.2
2007-10-13,27.458333333333332,33.4,22.9,73.95833333333333,97.0,4.954166666666667,10.3,25.9,6.2,1.1279166666666667,2.78,96.20833333333333,21.758333333333336,31.695833333333336,38.3,27.3
2007-10-14,27.224999999999998,31.3,23.1,69.2625,95.0,4.7124999999999995,22.9,27.7,31.700000000000003,2.5683333333333334,35.4,90.46333333333332,20.3,31.058333333333334,35.4,27.8
2007-10-15,27.349999999999998,32.2,24.0,71.09166666666667,90.0,4.0249999999999995,23.9,28.4,35.1,2.566666666666667,36.4,74.26208333333334,20.8875,31.650000000000002,36.4,28.6
2007-10-16,27.175,32.7,23.1,72.32083333333334,97.0,3.3833333333333333,23.1,27.9,37.4,2.6037500000000002,37.2,46.19833333333333,20.849999999999998,31.608333333333334,37.2,27.9
2007-10-17,26.379166666666666,32.0,22.8,78.66666666666667,98.0,4.691666666666666,10.0,24.8,10.9,0.86875,2.37,65.45833333333333,21.891666666666666,30.791666666666668,36.9,27.2
2007-10-18,25.379166666666666,29.9,22.9,83.20833333333333,95.0,2.970833333333333,6.7,22.0,16.8,0.605,1.63,99.91666666666667,22.125,30.037499999999998,35.9,27.5
2007-10-19,24.454166666666666,28.3,22.4,86.09583333333335,98.0,4.083333333333333,22.4,26.6,42.0,1.72625,32.6,95.99000000000001,21.97083333333333,29.0125,32.6,26.6
2007-10-20,24.650000000000002,27.3,22.4,82.30416666666666,96.0,6.625,22.4,26.5,29.5,1.78125,31.2,94.08833333333332,20.962500000000002,28.50208333333333,31.2,26.5
2007-10-21,25.45,29.0,21.9,80.54166666666667,98.0,3.5041666666666664,6.3,22.0,2.9,0.6866666666666666,1.48,99.66666666666667,21.666666666666668,29.645833333333332,33.1,25.9
2007-10-22,24.47083333333333,28.3,22.8,89.16666666666667,98.0,3.2875,8.4,20.2,74.4,0.36250000000000004,1.08,99.75,22.474999999999998,29.15416666666667,33.4,27.5
2007-10-23,23.479166666666668,25.0,22.4,93.75,99.0,3.6791666666666667,6.5,19.8,19.6,0.18625,0.5,99.95833333333333,22.3875,28.0625,29.4,26.5
2007-10-24,23.791666666666668,25.5,22.5,90.625,95.0,5.720833333333334,10.2,25.2,19.9,0.27958333333333335,0.59,100.0,22.141666666666666,27.925,29.7,26.3
2007-10-25,24.4875,27.3,22.8,85.6375,96.0,5.658333333333334,22.8,36.0,33.7,1.6679166666666667,31.1,84.3025,21.604166666666668,28.764583333333334,31.1,27.1
2007-10-26,24.337500000000002,26.9,22.8,89.0,98.0,2.9375,11.6,26.3,9.4,0.35250000000000004,0.84,97.79166666666667,22.34166666666667,28.979166666666668,31.6,27.6
2007-10-27,24.837500000000002,28.0,22.7,83.375,97.0,4.020833333333333,22.7,27.2,44.0,1.8079166666666666,32.3,93.52499999999999,21.829166666666666,29.277083333333334,32.3,27.2
2007-10-28,24.0125,26.8,22.5,87.61666666666667,97.0,5.5249999999999995,22.5,26.7,47.800000000000004,1.5829166666666667,30.8,96.10374999999999,22.183333333333334,27.166666666666668,30.8,0.0
2007-10-29,23.474999999999998,25.9,21.8,91.70833333333333,98.0,5.2250000000000005,7.6,18.7,13.3,0.25416666666666665,0.76,99.16666666666667,22.004166666666666,27.6125,29.7,25.7
2007-10-30,25.375,29.8,21.5,82.58333333333333,98.0,7.245833333333334,12.0,30.6,6.2,0.62375,1.49,68.58333333333333,22.016666666666666,29.316666666666666,34.2,25.5
2007-10-31,26.291666666666668,30.6,22.0,78.375,95.0,7.133333333333333,8.6,22.3,0.4,0.8125,1.8,68.66666666666667,22.0,30.433333333333334,36.2,25.6
2007-11-01,26.25,30.2,23.0,78.66666666666667,94.0,3.295833333333333,5.7,16.9,0.6000000000000001,0.7879166666666667,1.8,78.08333333333333,22.058333333333334,30.858333333333334,35.3,27.2
2007-11-02,25.004166666666666,28.6,22.6,87.33333333333333,97.0,2.6166666666666667,5.9,22.0,6.6000000000000005,0.4483333333333333,1.23,53.416666666666664,22.59166666666667,29.854166666666668,33.6,27.2
2007-11-03,25.258333333333336,29.0,23.1,84.5,96.0,4.891666666666667,8.9,26.3,11.3,0.5529166666666666,1.34,58.041666666666664,22.266666666666666,29.729166666666668,33.3,27.7
2007-11-04,24.77916666666667,27.2,23.1,85.8,96.0,3.970833333333333,23.1,27.7,37.4,1.7079166666666667,32.1,95.66666666666667,22.041666666666668,29.53333333333333,32.1,27.7
2007-11-05,25.245833333333334,28.3,23.0,86.625,99.0,3.283333333333333,9.2,20.2,1.9000000000000001,0.4725,1.19,89.70833333333333,22.704166666666666,30.075,32.7,27.9
